SchoolCode,SchoolName,SchoolType,Suburb,StateCode,Postcode,Longitude,Latitude,SchoolAddress,SchoolID
"3954","Wollongong Public School","Primary School","Wollongong","NSW","2500",150.896726,-34.422861,"Church St",4613
"3956","Beaumont Road Public School","Primary School","Killara","NSW","2071",151.146271,-33.774289,"17 Beaumont Road",4615
"3957","Woolooware Public School","Primary School","Cronulla","NSW","2230",151.146233,-34.045454,"Wills Rd",4616
"3958","Padstow Heights Public School","Primary School","Padstow","NSW","2211",151.030001,-33.966519,"Chamberlain Rd",4617
"3960","Waniora Public School","Primary School","Bulli","NSW","2516",150.919146,-34.336784,"Ursula Rd",4619
"3964","Figtree Public School","Primary School","Figtree","NSW","2525",150.854443,-34.440841,"Gibsons Rd",4620
"3966","Blackalls Park Public School","Primary School","Blackalls Park","NSW","2283",151.577743,-32.998435,"Charles St",4621
"3968","Speers Point Public School","Primary School","Speers Point","NSW","2284",151.621641,-32.958943,"Bell St",4623
"3970","Collaroy Plateau Public School","Primary School","Collaroy Plateau","NSW","2097",151.29344,-33.73297,"Plateau Rd",4625
"3971","Beacon Hill Public School","Primary School","Beacon Hill","NSW","2100",151.260584,-33.75163,"Tristram Rd",4627
"3972","Caringbah North Public School","Primary School","Caringbah","NSW","2229",151.123079,-34.036574,"125 Cawarra Rd",4628
"3973","Russell Vale Public School","Primary School","Russell Vale","NSW","2517",150.906828,-34.359483,"Terania St",4629
"3976","Farmborough Road Public School","Primary School","Unanderra","NSW","2526",150.834818,-34.460322,"56 Farmborough Rd",4631
"3977","Villawood East Public School","Primary School","Villawood","NSW","2163",150.986013,-33.890154,"Lowana St",4632
