Postcode,Suburb,City,State,StateCode,Type Of Property,Rental Median Value,RentalID
"1110","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,354
"1112","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,362
"1113","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,370
"1114","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,378
"1115","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,386
"1116","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,394
"1117","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,402
"1118","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,410
"1119","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,418
"1120","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,426
"1121","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,434
"1122","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,442
"1123","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,450
"1124","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,458
"1125","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,466
"1126","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,474
"1127","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,482
"1128","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,490
"1129","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,498
"1130","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,506
"1131","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,514
"1132","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,522
"1133","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,530
"1134","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,538
"1135","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,546
"1136","Sydney","Sydney","New South Wales","NSW","2 BR Flat",780,554
